Campaign,Ad Group,Max CPC,Ad Group Status
LB | AF | Lewensdekking,Lewensdekking kwotasie,12,Enabled
LB | AF | Begrafnisdekking,Begrafnisdekking,12,Enabled
LB | AF | Mediese Fonds,Mediese fonds vergelyk,12,Enabled
LB | AF | Voertuigversekering,Voertuigversekering,12,Enabled
LB | EN | Long-tail Life Cover,How much cover,12,Enabled
LB | EN | Medical Aid,Medical aid comparison,12,Enabled
