Campaign,Campaign Daily Budget,Campaign Type,Networks,Languages,Location,Bid Strategy Type,Campaign Status
LB | AF | Lewensdekking,60,Search,Google search,English;Afrikaans,South Africa,Maximize conversions,Paused
LB | AF | Begrafnisdekking,50,Search,Google search,English;Afrikaans,South Africa,Maximize conversions,Paused
LB | AF | Mediese Fonds,50,Search,Google search,English;Afrikaans,South Africa,Maximize conversions,Paused
LB | AF | Voertuigversekering,40,Search,Google search,English;Afrikaans,South Africa,Maximize conversions,Paused
LB | EN | Long-tail Life Cover,60,Search,Google search,English;Afrikaans,South Africa,Maximize conversions,Paused
LB | EN | Medical Aid,40,Search,Google search,English;Afrikaans,South Africa,Maximize conversions,Paused
